chr,region_start,region_end,name
chr1,17380440,17380516,SDHB_Exon1_NM003000
chr1,27022892,27024033,ARID1A_Exon1_NM006015
chr1,40367427,40367562,MYCL1_Exon1_Additional1
chr1,46598368,46598419,PIK3R3_Exon1_Additional1
chr1,115251975,115252115,NRAS_Intron4_Amp2
chr1,115252980,115253119,NRAS_Intron3_Amp1
chr1,115253980,115254119,NRAS_Intron3_Amp3
chr1,176069380,176069497,RFWD2_Intron7_Additional1
chr1,204491275,204491415,MDM4_Intron1_Amp7
chr2,16085307,16085446,MYCN_Intron1_Amp13
chr2,27009062,27009166,CENPA_Exon1_NM001042426
chr2,39572902,39573249,MSI_MAP4K3_intron13
chr2,61147515,61147615,REL_Exon9_NM002908
chr2,100081541,100081582,iIndel_chr2_1
chr2,111887706,111887814,BCL2L11_Exon3_NM138625
chr2,113994175,113994300,PAX8_Exon8_NM013952
chr2,173420876,173421076,PDK1_Exon1_NM001278549
chr2,178129257,178129306,NFE2L2_Exon1_NM006164
chr2,198299693,198299725,SF3B1_Exon1_NM001005526
chr3,12329346,12329521,PPARG_Exon1_NM005037
chr3,12666350,12666490,RAF1_Intron1_Amp2
chr3,12699146,12699286,RAF1_Intron1_Amp9
chr3,47147155,47147389,SETD2_Intron6_Additional1
chr3,138453776,138453916,PIK3CB_Intron4_Amp1
chr3,138468753,138468893,PIK3CB_Intron2_Amp2
chr3,182698272,182698279,DCUN1D1_Exon1_NM020640
chr3,185826726,185826903,ETV5_Exon1_NM004454
chr4,123805479,123805619,FGF2_Intron2_Amp3
chr5,218468,218535,SDHA_Exon1_NM001294332
chr5,39074210,39074262,RICTOR_Exon2_NM001285439
chr5,56111398,56111884,MAP3K1_Exon1_NM005921
chr5,86637104,86637140,RASA1_Exon6_NM002890
chr5,141999323,141999462,FGF1_Intron1_Amp4
chr5,180046018,180046111,FLT4_Exon20_NM182925
chr5,180076485,180076547,FLT4_Exon1_NM002020
chr6,20444193,20444333,E2F3_Intron1_Amp17
chr6,20461193,20461333,E2F3_Intron1_Amp25
chr6,35420320,35420572,FANCE_Exon1_NM021922
chr6,41944018,41944157,CCND3_Intron2_Amp12
chr6,41951018,41951157,CCND3_Intron2_Amp13
chr6,41960018,41960157,CCND3_Intron2_Amp14
chr6,135502649,135502676,MYB_Exon1_NM001130172
chr6,161412961,161413117,MAP3K4_Exon1_NM001301072
chr6,162992231,162992329,PARK2_Intron1_Additional1
chr6,163092425,163092522,PARK2_Intron1_Additional2
chr7,6414364,6414403,RAC1_Exon1_NM006908
chr7,95047130,95047171,iIndel_chr7_2
chr7,140578912,140579052,BRAF_Intron1_Amp5
chr7,140618912,140619052,BRAF_Intron1_Amp12
chr7,140624363,140624505,BRAF_Exon1_NM004333
chr7,151216543,151216599,RHEB_Exon1_NM005614
chr8,11565819,11566439,GATA4_Exon2_NM002052
chr8,119947781,119947825,iIndel_chr8_3
chr8,128756634,128756774,MYC_Flanking13_Amp1
chr8,145742795,145742894,RECQL4_Exon3_NM004260
chr8,145742983,145743021,RECQL4_Exon2_NM004260
chr8,145743082,145743170,RECQL4_Exon1_NM004260
chr9,98270440,98270833,PTCH1_Exon1_NM000264
chr9,101867485,101867586,TGFBR1_Exon1_NM001130916
chr9,139440175,139440240,NOTCH1_Exon1_NM017617
chr10,103535623,103535659,FGF8_Exon1_NM006119
chr10,103535788,103535927,FGF8_Intron1_Amp1
chr10,114886637,114886640,TCF7L2_Intron5_Additional1
chr11,8289971,8289997,LMO1_Exon1_NM001270428
chr11,69516275,69516414,FGF19_Intron2_Amp7
chr11,69516475,69516614,FGF19_Intron2_Amp8
chr11,69589510,69589854,FGF4_Exon1_NM002007
chr11,69589981,69590124,FGF4_Exon1_Amp1
chr11,69633479,69633703,FGF3_Exon1_NM005247
chr11,102199625,102199678,BIRC3_Exon5_NM001165
chr11,111963801,111963923,SDHD_Exon4_NM001276506
chr11,118307225,118307661,MLL_Exon1_NM001197104
chr11,125514668,125514808,CHEK1_Intron10_Amp1
chr12,52345525,52345620,ACVR1B_Exon1_NM004302
chr12,58136508,58136648,CDK4_Flanking1_Amp1
chr12,58143717,58143857,CDK4_Intron5_Amp1
chr12,69205472,69205612,MDM2_Intron2_Amp2
chr12,69231259,69231399,MDM2_Intron4_Amp4
chr12,112856913,112856931,PTPN11_Exon1_NM002834
chr12,120554400,120554456,RAB35_Exon1_NM001167606
chr13,28674602,28674649,FLT3_Exon1_NM004119
chr13,32933196,32933336,BRCA2_Intron16_Amp1
chr13,41239705,41240351,FOXO1_Exon1_NM002015
chr13,48878046,48878187,RB1_Exon1_NM000321
chr13,48954186,48954222,RB1_Exon15_NM000321
chr13,113951747,113951812,LAMP1_Exon1_NM005561
chr13,113962251,113962391,LAMP1_Intron2_Amp1
chr13,113969813,113969952,LAMP1_Intron4_Amp4
chr14,65568261,65568292,MAX_Exon2_NM002382
chr15,40994001,40994085,RAD51_Exon4_Additional1
chr15,90645505,90645624,IDH2_Exon1_NM002168
chr16,2588111,2588139,PDPK1_Exon1_NM001261816
chr16,68771316,68771368,CDH1_Exon1_NM004360
